Comment,Designator,Footprint,LCSC Part #
,LED1,SML0603,C2286
,LED2,SML0603,C2286
,LED3,SML0603,
.1uF,C13,C0805,C49678
1uF,C2 C5,C0805,C28323
4.7K,R1,R0805,C17673
4.7k,R2,R0805,C17673
4.7uF,C6,C0805,C1779
10K,R6,R0603,
10nF,C12,C0805,C1710
10uF,C1 C20 C21,A/3216-18R,C7171
18pF,C7 C8 C9 C10 C11 C14 C16 C19,C0805,C1797
40 MHz,Q1,2.5X2.0_KXO-V95,C390542
100nF,C3 C4,C0805,C49678
120,R7,R0805,
270pF C0G 0603,C15,C0805,
330,R3 R4 R5,R0603,
HDC1080DMBR,U5,DMB0006A,C82227
LDC1614RGHR,U1,RGH16_TEX,LDC1614QRGHRQ1
LM1117IMP-3.3/NOPB,U6,DCY0004A_N,C23984
SN65HVD230DR,U3,D8,C12084
STM32F042F4P6,U4,TSSOP20,C81002
