Designator,Mid X,Mid Y,Layer,Rotation
C1,-10.16,18.41,Top,270.0
C2,-7.62,18.41,Top,270.0
C3,-11.43,39.37,Top,0.0
C4,-11.43,37.08,Top,0.0
C5,-10.79,34.93,Top,0.0
C6,-26.67,38.10,Top,90.0
C7, 1.27,24.77,Top,0.0
C8,-19.05, 3.81,Top,90.0
C9,-19.69, 9.53,Top,90.0
C10,-19.69,15.24,Top,90.0
C11,-24.13,17.14,Top,270.0
C12,-24.13,29.21,Top,180.0
C13,-6.73,24.38,Top,270.0
C14,-23.50,11.43,Top,270.0
C15, 4.45,25.40,Top,90.0
C16, 3.81,22.23,Top,180.0
C19,-23.50, 5.71,Top,270.0
C20,-12.70,46.99,Top,90.0
C21,-12.07,41.66,Top,180.0
LED1,-12.70,28.58,Top,90.0
LED2,-17.78,29.21,Top,0.0
LED3,-1.27,44.45,Top,90.0
Q1,-3.81,24.77,Top,270.0
R1,-5.71,35.56,Top,90.0
R2,-7.62,29.85,Top,270.0
R3,-1.27,47.63,Top,90.0
R4,-14.73,30.48,Top,90.0
R5,-12.70,31.75,Top,90.0
R6,-25.40,43.82,Top,180.0
R7,-25.40,46.99,Top,90.0
U1,-1.91,19.69,Top,270.0
U3,-20.32,46.36,Top,180.0
U4,-20.32,34.29,Top,0.0
U5, 1.27,36.20,Top,180.0
U6,-6.99,44.45,Top,270.0
